FirstName,LastName,GameDate,Team,Opponent,Minutes,Seconds,FieldGoals,FieldGoalsAttempted,ThreeFieldGoals,ThreeFieldGoalsAttempted,FreeThrows,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PlusMinus
Semaj,Christon,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,15,19,1,2,0,1,0,0,1,0,3,1,0,0,1,12
Anthony,Morrow,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,31,3,2,9,2,7,0,0,0,1,4,0,0,1,3,20
Joffrey,Lauvergne,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,12,13,2,3,1,1,0,0,0,4,1,1,0,2,1,7
Russell,Westbrook,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,41,7,12,35,1,6,10,10,4,10,11,2,0,5,3,4
Victor,Oladipo,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,45,28,10,16,5,9,0,0,0,6,6,1,0,2,1,6
Steven,Adams,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,27,49,3,6,0,0,6,10,2,4,0,0,0,1,1,-5
Domantas,Sabonis,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,18,37,5,5,0,0,0,0,0,3,2,2,1,0,3,5
Andre,Roberson,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),OKC,WAS,35,1,4,6,2,3,0,0,0,5,0,2,2,1,4,12
Ian,Mahinmi,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danuel,House,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Ochefu,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Nicholson,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon,McClellan,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey,Burke,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,Oubre Jr.,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,27,56,4,6,2,3,2,2,0,6,1,1,0,1,2,5
Marcus,Thornton,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,17,8,4,7,1,3,2,2,1,2,0,0,0,0,1,-3
Tomas,Satoransky,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,11,42,1,3,0,1,0,0,0,1,3,0,0,0,2,-9
Jason,Smith,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,11,20,1,4,0,0,0,0,1,0,0,0,0,0,2,-15
John,Wall,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,43,41,6,20,2,7,1,2,3,3,15,1,1,3,1,-11
Bradley,Beal,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,41,30,10,21,4,10,7,10,1,4,1,2,0,4,5,-5
Marcin,Gortat,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,35,41,6,12,0,0,0,2,4,7,2,0,1,0,4,0
Otto,Porter Jr.,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,39,20,5,9,1,2,0,0,0,8,1,3,0,1,3,0
Markieff,Morris,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),WAS,OKC,36,42,7,16,0,2,5,8,1,6,2,1,1,2,5,-17
TJ,Warren,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick,Jones, Jr.,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan,Williams,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Jenkins,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,Ulis,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,6,14,1,2,0,0,0,0,0,0,2,0,0,0,2,5
Leandro,Barbosa,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,12,27,5,7,0,1,0,0,0,1,0,1,1,0,1,-6
Dragan,Bender,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,10,49,0,0,0,0,0,0,0,3,0,1,0,2,0,-6
Alex,Len,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,16,13,2,5,0,0,5,5,1,1,0,0,2,2,6,-6
Brandon,Knight,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,24,52,3,10,2,5,2,2,1,2,3,1,0,1,1,-15
Jared,Dudley,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,25,9,3,11,2,7,0,0,0,7,0,2,0,2,3,-9
Eric,Bledsoe,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,28,48,5,13,0,5,5,5,0,3,4,3,1,4,5,-16
Devin,Booker,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,30,39,4,13,2,6,3,4,2,2,5,1,0,4,5,-3
Tyson,Chandler,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,31,32,5,6,0,0,0,0,3,7,2,2,0,2,4,-11
Marquese,Chriss,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,19,8,3,6,2,4,2,2,0,3,0,2,0,1,2,1
PJ,Tucker,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),PHX,IND,34,9,3,12,1,5,0,0,2,2,1,1,0,1,2,-9
Georges,Niang,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rakeem,Christmas,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Young,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Seraphin,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy,Allen,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn,Robinson III,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,12,13,0,2,0,0,2,2,1,1,0,1,0,0,1,-1
Aaron,Brooks,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,11,36,0,2,0,0,0,0,0,0,2,1,0,2,0,5
CJ,Miles,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,15,51,1,7,0,5,0,0,0,3,0,0,0,1,1,9
Al,Jefferson,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,19,24,5,7,0,0,5,8,3,3,0,2,0,0,3,10
Rodney,Stuckey,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,25,33,5,9,0,2,2,3,0,3,1,1,0,0,1,16
Jeff,Teague,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,36,24,6,15,1,4,6,8,1,4,11,2,0,3,1,10
Monta,Ellis,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,22,27,1,4,1,2,2,2,0,4,1,0,0,2,1,-1
Myles,Turner,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,28,21,7,11,3,4,3,4,2,2,0,1,2,3,3,7
Thaddeus,Young,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,30,21,2,3,1,1,4,4,3,6,0,0,1,4,2,9
Paul,George,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),IND,PHX,37,50,8,18,1,5,8,10,2,11,1,3,0,3,3,11
